Id,Type,Duration
1,SerialTask,0:07:08.818206
2,WaitTask,0:00:20.001691
3,ParallelTask,0:01:27.220993
4,OpenChannelTask,0:01:27.134345
5,OpenChannelTask,0:01:27.213956
6,WaitTask,0:00:10.000890
7,ParallelTask,0:04:32.240764
8,DepositTask,0:04:32.239421
9,DepositTask,0:04:31.893935
10,SerialTask,0:00:29.332855
11,TransferTask,0:00:01.808288
12,TransferTask,0:00:01.598926
13,TransferTask,0:00:01.289580
14,TransferTask,0:00:01.674131
15,TransferTask,0:00:01.723504
16,TransferTask,0:00:01.694958
17,TransferTask,0:00:01.279101
18,TransferTask,0:00:01.425904
19,TransferTask,0:00:01.569943
20,TransferTask,0:00:01.233411
21,TransferTask,0:00:01.565448
22,TransferTask,0:00:01.265303
23,TransferTask,0:00:01.547462
24,TransferTask,0:00:01.279344
25,TransferTask,0:00:01.439040
26,TransferTask,0:00:01.265159
27,TransferTask,0:00:01.239853
28,TransferTask,0:00:01.527433
29,TransferTask,0:00:01.330712
30,TransferTask,0:00:01.567460
31,WaitTask,0:00:10.001167
32,ParallelTask,0:00:00.013335
33,AssertTask,0:00:00.011079
34,AssertTask,0:00:00.009253
